,phrase,label,sentiment,subjectivity,language,count
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,264
…,…,MISC,7.888888888888885,3.222222222222222,de,255
deutschen,deutschen,MISC,,,de,137
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,136
deutsche,deutsche,MISC,,,de,64
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,58
russischen,russischen,MISC,,,de,40
Deutschen,Deutschen,MISC,,,de,38
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,34
Deutsche,Deutsche,MISC,,,de,31
europäischen,europäischen,MISC,,,de,31
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,29
Winter.,Winter.,MISC,0.49090909090909096,0.0,,23
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,21
Skript,Skript,MISC,,,de,19
Informatio…,Informatio…,MISC,,,de,19
europäische,europäische,MISC,,,de,18
russische,russische,MISC,,,de,16
Millionen,Millionen,MISC,1.4,1.8,de,15
Pandemie,Pandemie,MISC,,,de,15
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,15
LNG-Terminal,LNG-Terminal,MISC,,,de,13
deutscher,deutscher,MISC,,,de,13
ukrainische,ukrainische,MISC,,,de,13
russischer,russischer,MISC,,,de,13
Ampel-Koalition,Ampel-Koalition,MISC,,,de,13
Kölner,Kölner,MISC,,,de,12
Gaskrise,Gaskrise,MISC,,,de-DE,12
soziale,soziale,MISC,,,de,12
Weihnachten,Weihnachten,MISC,,,de,11
Zeit,Zeit,MISC,,,de,11
Berliner,Berliner,MISC,,,de,10
britische,britische,MISC,,,de,10
russisches,russisches,MISC,,,de,10
Tages,Tages,MISC,,,de,9
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,9
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de-DE,9
Hamburger,Hamburger,MISC,,,de-DE,8
ePaper,ePaper,MISC,,,de,8
Internet,Internet,MISC,,,de,8
Werbeerlösen,Werbeerlösen,MISC,,,de,8
Gaspreisbremse.,Gaspreisbremse.,MISC,,,de,8
französischen,französischen,MISC,,,de,8
COP27,COP27,MISC,,,de,7
russischem,russischem,MISC,,,de,7
Euro,Euro,MISC,,,de,7
Gaspreisbremse,Gaspreisbremse,MISC,-0.006000000000000001,0.0,de,7
Ukrainer,Ukrainer,MISC,,,de,7
Jahr rasan…,Jahr rasan…,MISC,,,de,6
Anti-Inflationspaket,Anti-Inflationspaket,MISC,,,de,6
nächsten Jahr,nächsten Jahr,MISC,,,de,6
sozialen,sozialen,MISC,,,de,6
Gasfüllstand.,Gasfüllstand.,MISC,,,de,6
LNG-Terminals,LNG-Terminals,MISC,1.5499999999999998,0.0,de,6
russischen Angriffskrieges,russischen Angriffskrieges,MISC,,,de,5
deutsches,deutsches,MISC,,,de,5
Angriffskriegs,Angriffskriegs,MISC,,,de,5
